refined_rfe,count
"nb,ear pain",2
trauma to r toe,2
?snake bite,2
swel,2
brest lump,2
traum to eye,2
trauma to hip,2
injury to mouth,2
? rat bite,2
post dengue,2
"age, vomiting",2
iuouo,2
dragging while walking,2
rta-7.30pm,2
arv d3 dose,2
dermatis,2
right eye redness,2
tremers,2
adhs,2
skjin kl,2
redness in both eyes,2
planter wart,2
pap,2
sx wound,2
loss apetite,2
impared vision,2
l/s shoulder pain,2
autuism,2
swellingat  l/ear,2
r-31,2
injury to ls 1st toe,2
2/52,2
vomitng 1d,2
pain in ls wrist.,2
extra digits,2
red l/eye,2
plts 194,2
involuntary passing stools,2
haemangioma over abd wall,2
loose motion vomi low uop,2
"eye pain , swelling",2
smellly urine,2
hypopigmented lesions,2
menstrual pain,2
rsh-1yr,2
lump at vulva,2
abnormal beh,2
vomitting3,2
pityryasis,2
nose pain,2
ottitis media,2
p wt gain,2
right nostril bleeding,2
musle pain,2
"diarrhoea,vomiting,4d",2
less uop,2
"trauma to head,",2
ti,2
pho,2
abrasion on ls elbow,2
vomiting\,2
"loose motion,nausea",2
exten tenea,2
bleeding pr admit,2
arv 3,2
"diarrhoea,3 days,  bleeding pr admit",2
trauma r/hand-yesterday,2
l/hip pain 4d,2
trauma r/eye brow,2
nausia 1d,2
pain in both lower limbs,2
tounge,2
ound,2
trauma to right eye yesterday.,2
alrgy,2
"vomitting3times , loose motion",2
lose stool,2
lump abdomen,2
sweeat rsh,2
hypopigm.,2
ugh 3d,2
needs admission,2
loosemotions,2
te versi,2
trauma to  r/hand,2
pain at r/ breast,2
sexual abuse,2
"vomiting+, sob",2
r/nasal bleeding,2
dog bite-yesterday,2
rt leg,2
perianal lump,2
worm traetment,2
hd,2
trauma  to l  leg,2
oral uler,2
trauma  to  mouth,2
ring entrapment,2
dy,2
kjt pain,2
y,2
"diarrhoea,7d",2
rt leg pain,2
d pain,2
abd pin,2
r/s squint,2
joint pain 3 weeks,2
abd. p.2 weeks,2
pain nipple,2
"pain respiratory system,",2
mensruation problem,2
lym node,2
joint pain3d,2
gastrits,2
trauma to heel,2
vom 5t diarrhoea,2
vom diarrhoea,2
ear wound,2
"uti, phymosis",2
? pulled elbow,2
severe anaemia,2
dirrhoea 1 week,2
"vomiting,2times",2
l inguinal lump,2
"epi pain, vomiting",2
plts-154,2
r red eye,2
mild wh,2
injury to r ear,2
toothe,2
hx head injury,2
throat pain1d,2
trauma to r  eye,2
soore throat,2
knee pain 3 days,2
eye vision red,2
right loin pain,2
heavy ball hit over the upper lip,2
vp,2
pain in lknee,2
abnormal blinking,2
abd. p. 2d,2
penis symptom,2
pre term baby,2
pain in right ear,2
vom  diarrhoea,2
trauma l/ head-1/2 hr,2
vom 3t diarrhoea,2
tearing eye,2
dand,2
toungu tie,2
joinnt pain,2
p/h/o uti,2
tonsilar enlargement,2
kj pain 2 weeks,2
rasr,2
r/s ln,2
gastri,2
l/ nostril pain,2
12.6,2
not eating properly,2
h v,2
loa 1 month?,2
dusurea,2
larvae migrans,2
esr 25,2
? trauma to head,2
unresponsive,2
irregular menstruation,2
ln enlar,2
?goitre,2
vomittng,2
jointpain,2
v loose st,2
abnormal upper limbs,2
abd. p. 1 yr.,2
injury to r/thumb,2
high eosinophil,2
rv tomorrow,2
large tonsil,2
dyurea,2
gum,2
trauma  to l  hand,2
arv 3rd dsoe,2
milk vomitting,2
pain in l leg,2
lymphadinopathy,2
poor growth hair,2
ear wax b/l,2
trauma to r  ll,2
poor wt gaining,2
pain  in legs,2
urte,2
"diarrhoea,1d,",2
pain in ls arm,2
joint pai 5/12,2
pain r ear,2
anal pain,2
assault/,2
vomitting 3 times today,2
pruritu,2
nasa,2
r knee jt pain,2
joint pain r/ ul,2
sore thorat,2
osteomyelitis,2
trauma to r/s eye,2
epig pain,2
loose  stool,2
ankle jt pain,2
r/breast enl,2
"n, vomiting",2
plts 171,2
anuria,2
heari,2
limping 3 days admit,2
strawberry neavi?,2
abd.p0ain,2
5d,2
gastris,2
/uti,2
pain in l/ leg 1d,2
hand injury,2
pain in both ears,2
"vomiting, loose stools 1d",2
ps,2
?psoriasis,2
b/l heel pain,2
pain in ls abdomen,2
osteoma,2
injured l/eye,2
vomoting diarrhoea,2
arv d 3,2
loose moition,2
dog bite yesterday 7 pm,2
en t,2
not known,2
nasl adenoid,2
lump in eye lid,2
blow to mouth,2
poor eye,2
ent bld,2
tooth eruption,2
monitor bite,2
button battery ingesion,2
"piy,ver",2
b/l kj pain 1/12,2
pain in l/ ej,2
heas,2
law wt,2
dentai,2
abd.paain,2
"loose stol 3  , wtery",2
knoked knees,2
gait abnomal,2
abn  behaviour,2
trauma l/ ear,2
nsu,2
p  vision,2
ddysurea,2
retur,2
hard lump at l/ear,2
a dh d,2
pain behind r/ear,2
minor truama to head,2
"vomiting,sore throat",2
l squint,2
phimiosis,2
lump in l/ inguinal region,2
parotid swealing,2
pain in l/ear 2d,2
r/pull elbow,2
r/leg trauma,2
trauma r/eye-yesterday,2
l/upper limb pain,2
arv -2nd dose,2
r ear injury,2
ranning nose,2
dyusria,2
redness in r/eye,2
"vomiting, diarrhea",2
agressive behevior,2
head hit against wall,2
l/s knee pain,2
"wounds,",2
pain in ls thumb,2
nail #,2
l/eye brow swelling,2
no wt gain,2
ski8n,2
gg,2
lump on skull,2
wzx,2
leg wounds,2
loose stools 3days,2
trauma to r /leg,2
inv,2
pyuria,2
pain in both eyes,2
peri orbi swell,2
small ext. genitalia,2
malalignment,2
pain in r knee,2
"ear wax, ear pain",2
"thr pain, vomiting",2
dysures,2
small wounds,2
sa,2
ll abnormality,2
trauma l/ eye area,2
lump at l/breast,2
pain in shoulder,2
delay walking,2
lose motion,2
srotal lump,2
gum pain,2
arv-d7,2
l periorbital swelling,2
passing blood with stools,2
dermat,2
t.vesi,2
high eos,2
injury to r/ear,2
pain in l/breast,2
hypopigmented pathes,2
trauma r/ wrist,2
loose stools 3 weeks,2
injury eye,2
r/breat nodule,2
"vomitng,",2
haematurea loin pain,2
dog bite - delayed presentation,2
t.eania,2
bdgs and pda ligation,2
anal,2
arv 4th dose\,2
bl hernia,2
re[port,2
swelling l/s near ear lobe l/s,2
poor weight  gain,2
abd.distention,2
loss stool,2
moh,2
pain in l /ear,2
"heart/arterial murmur nos,?",2
"dib,   sob",2
injury to r/big toe,2
l/s knee jt pain,2
hallux valgus,2
"loose stools, voming",2
"t, versi",2
pain at l/ankle,2
dysria,2
burping,2
abnormality in hip,2
vom diarrhea,2
34.350,2
"diarrhoea,5days",2
abd. p.3 weeks,2
gasrttis,2
dysurea 2d,2
l/knee joint pain,2
"retyroorbital pain, tearing",2
vom 6t,2
post kt,2
larva migrans,2
nn,2
admision,2
"abdominal mass nos,",2
abd paaain,2
v0m diarrhea,2
l ear p,2
abd p. 2 weeks,2
dental pro,2
pain in l/shoulder,2
lump in eye,2
breast  bud,2
nephrology,2
agressive,2
par,2
? pit rosea,2
albuminuria,2
lump behind l/ear,2
head vomi,2
b/l snhi,2
upper ab. pain,2
lump anus,2
injury to  loin,2
abd.paib,2
upper abd. p. vomi,2
absdess,2
early morning sneezing,2
ear poor hearing,2
ortho r,2
multiple woun,2
absent thyroid gland,2
piti versi,2
mvp,2
poor visoin,2
ingunal hernia,2
trauma to  r/leg,2
loose motion 2weeks,2
trauma to shaulder,2
trauma to l/s hand,2
impertigo,2
hypospidiasis,2
tooth plm,2
trauma to l hip,2
altered behaviour,2
loin pains,2
r-,2
bno in 3d,2
small joint p,2
poorv wt gain,2
low hb high e,2
trauma r hand,2
thr,2
minor injury r/eye,2
trauma to r/aj-yesterday,2
r/ ankle sprain,2
arv  4th  dose,2
diarrhoea 10 d,2
thal,2
lump in r/upper eye lid,2
trauma to r/ kj,2
r eye lid swelling,2
poly,2
pain in l/ear 1d,2
01803637998,2
hit on metal bar,2
reassess ? uti,2
mul jt pain,2
thalasaemia,2
sl,2
joint pains 5m,2
allergy topampers,2
trauma to r / eye,2
l/ ej injury,2
vomiting loose stools low uop,2
perianal pain,2
poor vision 6/12,2
pain in r/ eye,2
seizure episode,2
lowe limb swelling,2
pain in rs lower limb,2
pruritus vulvae,2
depigmented,2
bl breast pain,2
trauma to the l-uper abdomen,2
squrrel bite,2
phobia,2
pain l breast,2
r leg swelling,2
low tsh,2
"swallowing problem,",2
v loose,2
loose motion and vomitting,2
injury to r/hand,2
loose motion 4times,2
pain in nipple,2
r thumb pain 6/12,2
assaulted by an other boy,2
hepatomegaly,2
e dis,2
l/wj pain,2
eye r,2
sm,2
voiming,2
trauma l/elbow,2
jnt pain,2
vomi dysurea,2
us,2
l/s hemplegia,2
upper abd pa,2
"rheumatoid/seropositive arthritis,",2
"vomiting,diarhoea",2
h/o  rta,2
injured r/big toe,2
injured r/eye,2
mother wants admission,2
v  loose stools,2
inguinal lymphadinopathy,2
loose stols,2
penil swelling,2
elbow joint,2
diarrhoea several times,2
gastrituis,2
sikin,2
vit,2
gastritius,2
vomitting with blood stains,2
dog bite on upper lip,2
soretho,2
para phymosis,2
arv 3rdv dose,2
hit the head on a table,2
walk,2
l/knee pain 1yrs,2
"dog bite, delayed presentation",2
hio,2
trauma l/ej yesterday,2
loose stool 1d  vomit,2
abnomal gait,2
ls eye injury.,2
behaviour,2
lab,2
vomiting  2d,2
r/elbow injury,2
b/l breast pain,2
irritable eye,2
ortho-r,2
meatal narrowing,2
eartags,2
trama to eye,2
trauma r/ aj,2
tenia pedis,2
lump in lower lip,2
arv 4th  dose,2
motor deve delay,2
pain in heel,2
khyposis,2
pustular,2
"memory loss ,lump at r/ear",2
woerm,2
"nausia,vomiting",2
joint pains 3d,2
r/ breast lump,2
tever,2
ganglian,2
"diarrhoea,1d,watery",2
dysura,2
headinjury,2
drug overdose,2
warts ?,2
gastrit,2
r breast lump,2
vomiiting,2
asnaemia,2
puo,2
sutures,2
swealing r arm,2
vomi abd. p.,2
swelling in penis,2
gastritritis,2
poor near vision,2
trauma to r/sj,2
wound in ll,2
"vomiting,poor apetite",2
bow lwgs,2
plt low,2
trauma to right heel,2
arv 4th dode,2
heamaaturia,2
straining,2
tooth prob,2
behaviural problems,2
end,2
pain at anus 4 days,2
mild epistaxis,2
injury to right eye,2
diarrhoea3,2
"dysuria,",2
kj ppain,2
a s d,2
uti admit,2
loose   stool,2
burning pain,2
shoulder pains,2
r/s hernia,2
trauma to r/arm,2
big toe nail,2
not using r upper limb,2
wuunds,2
ln enlg,2
blood stain stools,2
overage,2
r inguinal pain,2
hot wter burn,2
sobb,2
"t, vers",2
ing ln,2
allergy 1d,2
hit on wall,2
growth in r/eye,2
stool blood stained,2
loose motion 5 times /week,2
b l leg pain,2
dysuriya,2
pooe vision,2
vomiting 2t,2
develop delay,2
r knee joint pain,2
wouns,2
"glomerulonephritis/nephrosis,",2
?allergy 1d,2
trauma to sj,2
valg,2
phimo,2
poor visio,2
"vertigo,",2
generalize weakness,2
gs,2
swelling behind the r/ear,2
kerion?,2
nevous with hair,2
lump over ankle,2
slanting l/eye,2
twist,2
loose motion 1d,2
loose motion1d,2
pain /r breast,2
arev 2nd dose,2
ughj,2
snee,2
trauma to toe,2
hair  loss,2
vomiting sob,2
shoulder injury,2
pain dental,2
radh,2
wrist pain1/52,2
loose stools++.vomitting,2
01803040755,2
pain in both heels,2
"mild wheez, not dys",2
"diarrhoea,1 week",2
loose stools 3 days,2
pityraiasis,2
sor throat,2
diaa,2
"vertiginous syndrome,",2
yellow eyes,2
01802506319,2
"sweat gland disease,",2
rt eye,2
bleeding pr 3d,2
skkin,2
turbid urine,2
empty sella syndrome,2
poor vsn,2
vomiting and diarroea,2
pain in r/ear 1/52,2
hypo pigmentation,2
"dysurea,bno",2
knee joint,2
? talapes,2
poor vis,2
high,2
lump on abd wall,2
"allergy, low hb.",2
rta-2.30pm,2
trauma  to  r  eye,2
lower abd apin 1w,2
b/l red eyes 8 days,2
loose stool3d,2
pit versi,2
vomiting1d,2
joint pain 2/52,2
ever 4d,2
ent -r,2
swealing penis,2
loose stool mixed with blood,2
loose motion3d,2
dys uria,2
"n, v, loose stool",2
sprained l ankle,2
pain in tooth,2
dysuria 2/52,2
mylgia,2
enlarged ln 1 week,2
tiredness,2
dog bie,2
skjin lesion,2
poor visiom,2
lump in upperlimb,2
squi,2
hydradenitis suppurativa,2
abnormal head movemont,2
unstaible gait,2
abuse,2
nu,2
"vomiting,gord",2
vertigo2/12,2
smegma,2
dog bite-9pm,2
uper ab .pain 3 month,2
h/o  rall,2
rt breast lump,2
sorethrat,2
looe motion,2
bm biopsy,2
01804856118,2
otitis  media,2
urethitis,2
ha and vomiting,2
r/thumb pain,2
insomnia,2
greenish stools,2
assaulted by brother,2
req adm,2
loose stools 4d,2
white hair,2
renal problem,2
arv  3rd,2
short,2
hit with a ball,2
"abpain,vomiting,",2
abnormal  behaviour,2
toe abnormality,2
poorwt gain,2
pain in r groin,2
bllod stained stools,2
normal baby,2
pain in both legs,2
geo tongue,2
pain at elbow,2
arv d 7,2
bow lgs,2
r aj pain,2
hot metal burn,2
assaulted by a known person,2
head wounds,2
01802704245,2
vonmiting,2
paraphymosis admit,2
viral rti,2
r parotid swelling,2
parotid gland swelling,2
l/ ll weakness,2
tongue lesion,2
sore tongue,2
pustules in hand,2
r/s knee joint pain,2
sutu,2
pain in l/knee,2
ex vom,2
trauma to lower abd,2
pain in right lower limb,2
ab .pain,2
h/o vomiting,2
rv with report,2
myopathy,2
post sx,2
low  hb ?,2
vomitting 1d,2
trauma to glans penis,2
pap urti,2
warts on r hand,2
"vomiting,gestritis",2
lymh,2
l/lower leg injury,2
"diarrhoea,vomiting 1d",2
r/red eye1d,2
uveitis,2
l ear bleeding,2
right hip pain,2
vomiting & diarrhoea,2
trauma l/ul-yesterday,2
"diarrhoea,4 days admit",2
diarrhoea 2,2
walking prob,2
mx,2
nasal swelling,2
ab pin,2
vomiting several times,2
multiple j pain,2
01803926730,2
regarding pop damaged,2
loose motions 1d,2
l parotid swelling,2
adrenal mass,2
pustule in nostril,2
wound admit,2
strawb,2
kneejt pain,2
swallowed a pin,2
arv 4 th,2
gen rsh,2
boe,2
neuroblastoma,2
wt prob,2
ton enlar,2
ataxia,2
"loose stools,vomiting",2
trauma r/ eye yesterday,2
p00r wt gain,2
rta-,2
trauma to head last night,2
epigastrio pain,2
"vomiting,4times",2
trauma by a nail,2
lump over l nipple,2
gggg,2
trauma to r palm,2
b/l bowing legs,2
opd visit,2
pns,2
unilateral periorbital swelling 1d,2
pain and redness in r/eye,2
pain r/hand,2
ankle twist,2
trauma to both hands,2
dizziness 3d,2
palpi,2
dyspnoea in exertion,2
"loose motion, vomitt",2
arv day 3,2
"loose stool ,",2
nasal bleeding.,2
r ul pain,2
"diarrhoea,2 days admit",2
abdominal x ray supine,2
knoked knee,2
w rt,2
r/aj sprain,2
ing lump,2
poor attention to studies,2
arv 2d dose,2
ar pain,2
red eye 2d,2
rhi,2
urinary symptoms,2
hip joint pain,2
b/l hip pain,2
hdmd,2
pain over penis,2
"diarrhoea 2d,",2
milestones delaiy,2
spine abnorma,2
?squint,2
plts 160,2
arm,2
kalazion,2
b/l,2
vomiting - dehydrated+,2
penil pain,2
leg pain b/l,2
mmmm,2
pain in l wrist,2
wt gain,2
minor trauma,2
vomiting  3times,2
parotitis ??,2
heel pain 3m,2
wants tabs,2
r-62,2
esr high,2
runover,2
worm  tx,2
abdominal lump,2
l/kj wound,2
22,2
01802737278,2
ab. pain 2 weeks,2
"rta,",2
spine,2
burn injury with hot water,2
l eye,2
pain in r/ankle,2
murm,2
sleepiness 1w,2
anxeity,2
wet,2
abd oain,2
r/wrist pain,2
"vomiting,6 times",2
pain in l ul,2
sneezing 3/12,2
dirrhoea 3,2
wrisr,2
tonsilit,2
vomiting loose motion,2
trauma to l lower lip,2
l/ leg wound,2
nasal septal deviation,2
swelling -l/eye,2
b s i,2
hit the nose,2
bat hit the nose,2
01804207163,2
pooe wt gain,2
pain in l nipple,2
pain in ls lower limb.,2
proteinuria admit,2
ankle trauma,2
injury to the l eye brow,2
diagnosed pt with itp,2
trauma to the head,2
b/l ankle joint pain,2
plts 184,2
r/ elbow pain,2
poor urine stream,2
no vomiting,2
bowng legs,2
lump at r/breast,2
trauma l/ej-yesterday,2
vomiing,2
dysuiria,2
jejunal atresia,2
tenea ver,2
"vomiting 1d,loose stool 1d",2
pls,2
pulmonary stenosis,2
aie,2
pain while walking,2
pullin elbow,2
+lump,2
l/s eye stye,2
vision plm,2
dermatomyositis,2
dog bite l/leg,2
abd.p-ain,2
l/ knee pain,2
wd review,2
r eye injury,2
loose motion1/52,2
trauam to eye,2
ap,2
short leg,2
asault,2
injury to the l eye,2
gb xd,2
vomiting x 3times,2
trauma to r ej,2
l/sear pain,2
dysr,2
abd -pain,2
ever6d,2
assault by a known person,2
peri orbital aweling,2
b/l wj pain,2
hit,2
vomitting 4times today,2
squient,2
multiple joint pain 1m,2
loos  stools,2
blunt trauma with a leather ball,2
pustles,2
ear pain?,2
pain arm,2
pain at l/elbow,2
ear ithi,2
gait prob,2
dysuri,2
"vomiting , 2 times",2
hearing imp,2
blis,2
her,2
rta-7.15am,2
hhernia,2
l/ knee joint pain,2
bl ear dis,2
hit by brother,2
? migraine,2
trauma r/ ul-yesterday,2
pain in perineal area,2
bitten by a squirrel,1
qworm,1
"had diarrhea, vomitting yday",1
suture r.,1
trauma lwer lip -yesterday,1
kelouid,1
nipple pain and nodule,1
r/s pulled elbow,1
bone age lagging behind,1
b/l sty,1
a/w  sx,1
"loose motion , vomitting 3days",1
l/thigh pain 2w,1
ear lobe in exz so thro,1
abd. p. loose stools vomiting low uop,1
multiple joint pain 2d,1
sore lips,1
wounds over penis,1
"kj pain,dry lips",1
?milk aspiration yesterday,1
? haemangioma,1
vomi vertigo,1
"loose stools , vomiting 2 days",1
throid enlargement,1
01804317236,1
pain in r breast,1
pain -at l./breat,1
mild swelling and redness at rat bite site,1
01805095658,1
abnormal gait and movements in r ul & ll,1
01805095732,1
trauma to l/hannd,1
l/ kj pain and swelling 4d,1
glossitis?,1
asalult,1
abnormal vagina,1
vomiting every thing taking orally,1
sub mandibular lm,1
trauma to l/ej-yesterday,1
"sob,?orthopnoea",1
r/ ear bleeding,1
passing worm,1
l ear pain 2/52,1
"loose stool 2d,",1
"lump in abdomen, ? lipoma",1
lm++,1
hematuria 1d,1
wound oiver lower lip,1
01803276656,1
leg pain-2yr,1
b l knee pai 2 weeks,1
vomiting  losse stools,1
pain around genitalia,1
preterm baby,1
lump over nipple,1
allergy 1 1/52,1
01803292620,1
dragged r/ul,1
high doses,1
abdominal   pains .,1
'rta,1
thigh pain and kj p. 2 months,1
"knee,ankle pain",1
01700137977,1
"sorethroat ,",1
trauma to right testis,1
hot water burn 7pm,1
hand opain,1
mild periorbita oema,1
evd,1
vomited 2 times-8am,1
large eyes,1
weezing 2d,1
polyuria  2 m,1
"mouth/lip disease,",1
ab -pain,1
small lump at vaval region,1
nauvus,1
"hand sweating,m worm",1
01802565067,1
01803128477,1
vomitted 2 times,1
swellinm,1
"sore throat ,",1
limd,1
"ear wax, not responded to rx",1
pity. ve,1
poor stream  urine,1
toungue redness,1
wt droppping,1
snoring in the night,1
not sit by own,1
loose stools vomitting 6d,1
rase,1
pain in l  lower  leg 3m,1
"oral thrush, dental opinion",1
plta 187--&gt; 162,1
wounds in l big toe,1
bp injury,1
dressind,1
pain  at trauma site,1
bno 2 day,1
hx  dengue,1
normakl,1
trama to l/ear,1
joint pai,1
breast pains,1
r kjv pain,1
01803173556,1
growth in l lower eye lid,1
lump i n eyebrow margin,1
esostosis,1
prominent vertebrae,1
bl retino blastoma,1
snoring atkelaniya,1
loose motion 4 to 5 times today,1
"blinking eyes,blurred vision",1
sternomastoid tumor,1
01805427950,1
wurm,1
no uop,1
01804657771,1
knee problem,1
mouth ul,1
poly urea day time,1
bullous,1
genaralized body and joint pain,1
blood passed with urine,1
"vomiting,2days,diarrhoea,2d",1
"hest pain, sob",1
vomiting 1 month,1
"heartburn,1d",1
"vomiting, pns",1
tiny blisters,1
hb 11.8,1
wound l/s ll,1
pyrentin,1
01805098173,1
pitiriasis,1
lower eye lid,1
"sneezing ,nasal bnleeding",1
bloody diarrhoea  1d,1
01802660405,1
repoprt,1
a pain epigast,1
"diarrhoea,2m",1
"vomiting, looks ill",1
bad smell r ear,1
01802681716,1
"abd distension 4d,diarrhoea,",1
b/l kj pain 3days,1
tremor  ? uti,1
"v,d today",1
lunp,1
ear lobe allegy,1
high e,1
milk aspi,1
trauma between nose and upper lip,1
swallowed a stone 12/09,1
d d2,1
r sty,1
01805196423,1
thro. p. tinnitus,1
rt eye p,1
small lump over hard palate,1
nontender ln,1
"v, d d3, bno today",1
"wt, eye",1
"vomititng,repeatedly and low uop",1
inadequate weight gain,1
pain at blood withdr site,1
vulval pain,1
01804057006,1
"w2heezing , not dys",1
? sob,1
"v, lm",1
b/l parotitis,1
poor visi0n,1
"voimtng,diarrhoea,",1
trauma.,1
abdominal distension 1d,1
loose stoo;,1
tender r breast lump,1
wax?,1
plts 65,1
"diarrhoea,vomiting,abd.distion",1
"diarrhoea,vomiting,abd.distention",1
loinpain,1
snusitis,1
wide spread tenia,1
r periorbital haematoma,1
head.,1
eye pain with tearing,1
"v, ls",1
"diarrhoea,vomiting,2d",1
water bottle hit on r/eye brow,1
"nb,snoring,",1
r/red eye2d,1
vo diarr,1
nausea 1d,1
rt nasal blee,1
skim,1
"vomiting 1d,?pallor +",1
pain in rs hip,1
"dysuria ,vomiting 1d,?pallor +",1
mild dysuria,1
kneejoint problem?,1
d d5,1
monkey bite last night,1
thalaseamia major,1
"voniting,diarrhoea",1
"noisy breathing,milk regurgitation",1
r/s inguinal ln tender enlargement,1
burn injuru,1
trauma to r/tumb,1
b/l/eye injury,1
hot tea burn 6pm,1
bleeding pr 1week,1
"swelling,pain in penis,",1
trauma to l/s head,1
teath injury,1
trauma r/1st mt area,1
diarrhoea 4t vom 5t,1
suture remo9val,1
"plts 122,",1
heartburn,1
l/breast invert.pain,1
lump below knee,1
l side thumb trauma,1
wound  l/s kj 2d,1
pain in rs 4th and 5th toes,1
"vomiting 1d , loose stool 1d",1
"blurred vision,",1
short l/leg ?,1
eatr pain,1
"loose stool 1d, vomited 2 times",1
sparse hair,1
? dermoid,1
urnation problem,1
abd paib vomiting,1
pain in urination,1
sob looks ill,1
01720055290,1
"sinusitis,sore thr",1
ls periorbital swelling.,1
minor injury to the eye,1
trauma r/ aj on 14th,1
orbital swelling b/l,1
salp,1
trauma to right wrist and ankle,1
pustu,1
"l/loin painv,d",1
stammering/,1
"? tenia, partially treated",1
injury   r/3 red toe,1
trauma to testis testerday,1
plts 185,1
01805055439,1
toung soreness,1
vomiting blood  2 times - dehydrated,1
pain in r ul,1
/ seizure,1
vomited 8times yesterday,1
duysur,1
bl.spot l/eye,1
drowsiness 2days,1
wound pain swelling,1
ins,1
broken the pop,1
01700044421,1
l/s inguinal hernia,1
swelling on ls eye brow,1
leg pin,1
eye- tearing,1
trauma to head and r ear,1
vomiting 10 times today.,1
assault-1.30pm yesterday,1
r/kj,1
abrasion on nose,1
labial adhision,1
urtiaria mild,1
lump over r knee,1
"loa , vomi",1
"r/ankle pain,swelling,",1
pain in both eyes 1/12,1
trauma to  penis,1
limping  4d,1
vomiting x1d.3 times today,1
"whhezing,loose stool",1
plts 157-169,1
pain in the r/s ul,1
blood passing with stools,1
r/arm pain 1w,1
known pt with epilepsy,1
01803218625,1
pt with lmbt shunt,1
delay walk?,1
r/eye stye,1
pain at previous trauma site,1
l/s tender ln 1 week,1
sole wounds,1
plt-209,1
underweight,1
lump r/s,1
b/l kj p. 3 months,1
enlarged tonsills,1
burn injury  to right eye,1
"plts 166,n 80",1
01804860847,1
"bleeding pr , hb 9.9",1
loose motoin,1
staying with mother,1
? hnb,1
red weye,1
pain in r hip,1
"worm,",1
melanoma,1
01803884566,1
wound on sole,1
pain l/s breast,1
sprained  l leg,1
supraorbital trauma,1
lump behind ear,1
"h, su",1
upper  periorbital swelling 1d,1
lower spine pain,1
plts 178 <----162,1
"large os asd, rv volume overload",1
abnormal eye movement l/s,1
ty,1
tosili,1
01802936037,1
loose motion 2 weeks dyspnoia + ? tensed abdomen,1
01804426664,1
01804725628,1
haematoma l/s thigh,1
allrrgy,1
swelling at mons pubis,1
01804284873,1
"diarrhoea ,vomitng",1
trauma to r/eyebrow area,1
? eye trauma,1
right side pneumonia,1
dog bite-6.30pm yesterday,1
01804971453,1
pustules over sole,1
01802733269,1
"ln palpable,tender",1
loose motion 5times today,1
vomiting and loose stools 1 day,1
umb.dis,1
01700046319,1
trauma  l/ ej,1
trauma l/ul x 1 hr,1
"plts-196,hb-10g/dl",1
sub orbital swelling,1
01803443785,1
nutr.,1
plts 177---&gt;160,1
n78,1
"diarrhoea 1d,",1
liquid burn injury,1
aneurur,1
apthus,1
.l/ej pain,1
01804814885,1
trauma to l/ear lobe,1
abdominalm pain / guarding ?,1
"pit alba, worms",1
trauma to l/perioabital area,1
l/eye poor vision,1
rustules,1
l/s inguainal hernia,1
trauma l/head-4pm,1
"sob,nb,",1
poor l/eye vision,1
"diarrhoea,vomiting,5d",1
hot water durn,1
memory impairment,1
pigmented,1
l groin ln,1
"loose stools d3, v",1
pe swe,1
vomitting3day,1
kneejoint pain,1
pre term,1
uti treated,1
bl; leg pain,1
pal,1
"loose stools, d3",1
monkey bite-2pm,1
h/o trauma penis,1
ul abnormality,1
"sneezing 1m,kj pain 1d",1
t. ring worm,1
right side big toe pain,1
loose motiom,1
urineb stones,1
"abd distention,regurgitation 3d",1
vomiting exessive,1
need to asses vision,1
wax removal,1
trauma to ears,1
r/breast tender,1
"worm rx, wound",1
wound r/s big toe,1
"body pain,leg pain",1
rsh-2/12,1
trauma to l/sj,1
lm x 2d,1
dub,1
arrogant behavior,1
"loose motion 10 times daily, dysuria",1
"vomting,loose motion",1
resolving haemotoma,1
tonsiller hypertrophy,1
hot water burn on groin,1
swelling  at r/eye lid,1
blood staned stools 1d,1
trauma upper gum,1
l aj swelling,1
throat swelling,1
trauma l/ hip area-ll,1
eye [pain,1
wd rv,1
irregular rhythum,1
"ll pain 1/12, pns",1
l;ymph,1
nausia 2d,1
stray dog bite-2024-12-25,1
ankal jt pain l/s swelling,1
wound on ls upper eyelid,1
"tiredness,dyspnoea on exertion",1
repeated vomiting with blood,1
t.ver age,1
abrasions on ls leg,1
vom01803633500,1
pustule over upper lip,1
"lm , vomiting",1
peri orbital edema 2d,1
? growth in gum,1
01803369980,1
lm x 1d,1
"v,loose stools2d",1
inadequate weigt gain,1
str  neavus,1
"sob, ht palpitations",1
head lise,1
vomitingstable,1
esrd on hd,1
pain and lump in armpit,1
29,1
port wine,1
arrytmiya,1
blood stai,1
limp 3 days,1
lump appearing in ankle,1
lump over r axilla,1
pulsatile lump,1
allergy?,1
t. versui,1
vomiting    drowsiness,1
01802903821,1
"vomitting , loose motion 2weeks",1
"loose motion watery, vomitting",1
suture temoval,1
diarrhoea 3d  vomiting,1
ear lobe,1
trauma to genitalia-5.30pm,1
unilataral eye lid swelling,1
lump at ear lobe,1
01804239893,1
?sinusitis,1
ear [pain  2/52,1
vonoting,1
? seizure episode  today and last night,1
knee joint pains,1
"diarrhoea,3d, 6 times today admit",1
pain in rs hand.,1
sexualy abuse,1
weakness both ll,1
lies head,1
wound in leg and body  2d -,1
ln behind the ear,1
"age, pit alba",1
knok knee,1
"red eyes,tearing 1 year",1
r/ partid area swelling,1
"vomitting , loose motion 2d",1
"baby delivered at th/ anuradhapura , 04 days,",1
01804037016,1
periorbital redness d2,1
r ear pain 2/12,1
some body hit by astone,1
"diarrhoea,5 days admit",1
kerosine oil poisoning,1
